language,city,level,years_of_experience,salary
php,UK,3,10,3000
.net,Danija,2,10,2700
php,Vilnius,3,10,2800
php,Vilnius,3,10,3400
java,Vilnius,3,10,2500
php,Kaunas,2,4,2100
go,UK,3,10,10500
.net,Vilniuje,1,1,1181
php,Vilnius,3,8,3500
.net,Kaunas,2,2,1800
php,Kaunas,1,5,1800
php,Klaipėda,2,3,2000
go,Vilnius,3,5,4300
php,Vilnius,2,5,2700
python,JAV,2,5,3600
js,Kaunas,2,10,2000
.net,Vilnius,2,7,2250
js,Kaunas,1,1,1400
php,Vilnius,2,6,2100
.net,Vilnius,3,6,2800
go,Vilnius,3,10,5300
php,Klaipeda,2,5,1400
java,Vilnius,2,3,2600
vue,Izraelis,3,6,3350
php,Vilnius,3,6,3000
js,Norvegija,2,5,3000
ruby,Vilnius,3,10,4800
js,Vilnius,3,9,6000
.net,Kaunas,3,9,2800
go,Kaunas,1,1,1050
php,Kaunas,2,3,2500
go,Klaipėda,1,1,1700
js,Vilnius,2,3,2070
js,Vilnius,2,2,1670
kotlin,Vilnius,2,4,2300
php,Vilnius,3,10,3000
php,Kaunas,3,7,3400
node,Kaunas,3,8,3600
.net,Kaunas,3,8,3400
js,Vilnius,1,2,1396
php,Vilnius,2,5,1400
python,Kaunas,2,3,2700
.net,Klaipėda,1,1,1300
php,Kaunas,3,4,3500
kotlin,Vilnius,3,5,2900
js,Kaune,1,1,1200
.net,Vilnius,2,5,2435
js,UK,2,4,3200
php,Kaunas,2,6,2100
node,Vilnius,3,5,3200
node,Vilnius,2,10,3200
js,Kaunas,2,5,2370
js,Kaunas,2,3,2000
php,Kaunas,3,6,2500
java,Kaunas,3,10,5000
go,Vilnius,2,4,4800
go,Vilnius,3,8,3500
kotlin,Vilnius,2,8,2800
rust,UK,3,10,6850
php,Vilnius,2,10,2200
java,Vilnius,3,4,2800
php,Skandinavija,2,3,2200
java,Kaunas,1,2,1500
php,Kaunas,3,8,2500
php,Vilnius,2,5,2100
js,Vilnius,3,10,3800
js,Vilnius,2,4,1800
go,Klaipeda,3,5,2000
js,Vilnius,2,5,3200
php,Kaunas,2,3,1100
js,Vilnius,2,4,3100
php,Klaipėdoje,2,2,1500
php,Vilnius,2,7,2850
php,Kaunas,3,10,4000
java,Vilnius,2,3,2000
js,JAV,2,7,5400
java,Vokietija,2,4,3000
php,Kaune,3,10,2300
js,Vilnius,2,5,2500
php,Vilniua,3,9,4000
js,Vilnius,2,5,2500
js,Kaunas,2,6,3000
java,Vilnius,2,5,2350
php,Kaunas,3,10,2600
.net,Vilnius,2,4,2930
php,Vilnius,3,7,3800
swift,Vilnius,3,4,2950
js,Vilnius,2,3,2170
.net,Vilnius,1,2,1250
js,Olandija,3,7,4500
php,Vilnius,3,6,3250
php,Vilnius,2,10,2200
php,Kaunas,3,6,2800
php,Kaunas,3,7,3500
php,Vilnius,2,5,2600
php,Vilnius,2,3,2050
.net,Vilnius,2,3,2500
sap,Vilnius,2,5,3500
php,JAV,2,4,5000
js,Vilnius,2,3,2400
js,Vilnius,1,1,1089
go,Kaunas,3,9,3700
js,Kaunas,2,6,2480
js,Vilnius,2,6,2400
js,Vilnius,3,7,3590
js,Šveicarija,2,5,3500
php,Panevėžys,2,3,1800
python,Kaunas,2,5,3000
js,Vilnius,2,4,2200
java,Kaunas,3,8,2800
js,Marijampole,1,1,1400
ruby,JAV,3,6,5300
js,Vilnius,3,6,4200
java,Kaunas,3,10,4500
js,Vilnius,3,10,4232
js,Šiauliai,2,9,2550
js,Kaunas,1,2,2430
js,Mažeikiai,2,4,2200
js,Kaunas,1,2,1200
php,Vilnius,3,7,2000
go,Vilnius,2,4,2500
php,Vilnius,1,1,1150
js,Kaunas,3,6,2600
php,Panevėžys,2,8,1700
java,Kaune,2,5,2200
.net,UK,2,5,3163
python,Kaunas,1,1,1030
python,Kaunas,3,9,3000
php,Vilnius,1,2,1200
js,Olandija,2,5,2500
php,Vilnius,2,8,2500
js,Vilnius,3,10,3500
js,Vilnius,1,1,1550
php,Vilnius,2,4,2300
php,Vilnius,2,5,1600
java,Vilnius,3,10,4200
